htsus,rule_text,page,note
2707.10-2707.99,"A change to subheading 2707.10 through 2707.99 from any other heading; or A change to phenols of subheading 2707.99 from any other subheading or from any other good of subheading 2707.99, provided that the good resulting from such change is the product of a chemical reaction; or A change to any other good of subheading 2707.99 from phenols of subheading 2707.99 or from any other subheading, provided that the good resulting from such change is the product of a chemical reaction; or A change to subheading 2707.10 through 2707.99 from any other subheading, including any subheading within that group, provided that the good resulting from such change is the product of a chemical reaction.",,"trailing '38' removed: continuation of the '(f) Section VI: Chapters 28 through 38' heading row, which _FR_ROW does not match and so leaks into the preceding rule"
6812.99,"A change to yarn or thread of subheading 6812.99 from any other subheading including from any other good of subheading 6812.99; or A change to cords or string, whether or not plaited of subheading 6812.99 from any other subheading or from any other good of subheading 6812.99, except from yarn or thread of subheading 6812.99; or A change to woven or knitted fabric of subheading 6812.99 from any other subheading including from any other good of subheading 6812.99; or A change to paper, millboard, felt, or compressed asbestos fiber jointing, in sheets or rolls, of subheading 6812.99 from any other heading or from any subheading, except from subheading 6812.80 and 6812.99.",,
